value,인덱스,날짜,장,단어,뜻
30,1,2024-03-30,초-1,couple,"부부, 한 쌍, 두 개"
18,2,2023-01-03,초-2,as,"~한 것과 같이, ~로서"
44,3,2024-04-07,초-1,unless,만일 ~이 아니면
18,4,2023-01-04,초-2,as,"~한 것과 같이, ~로서"
30,5,2024-03-30,초-2,near,"가까운, 가까이, 접근하여"
20,6,2023-01-04,초-2,next-door,"이웃에, 이웃의"
18,7,2023-01-04,초-4,express,"표현하다, 나타내다, 급행의, 속달의"
30,8,2024-03-30,초-4,deny,"부정하다, 인정하지 않다"
20,9,2023-01-04,초-4,mention,"말하다, 언급하다"
18,10,2023-01-05,초-4,express,"표현하다, 나타내다, 급행의, 속달의"
20,11,2023-01-05,초-5,gentle,"온화한, 부드러운"
18,12,2023-01-05,초-5,wonder,"이상하게 여기다, 궁금해하다, 경이, 놀라움, 놀랄만한 것, 불가사의"
18,13,2023-01-05,초-6,alike,"서로 닮은, 비슷한, 똑같이"
18,14,2023-01-05,초-6,heavy,"무거운, 격렬한, 강한, 다량의, 대량 소비의"
30,15,2024-03-30,초-7,cotton,"면직물, 솜"
30,16,2024-03-30,초-7,wool,"양모, 모직물"
18,17,2023-01-07,초-8,hand,"건네주다, 넘겨주다, 손, 일손, 박수"
35,18,2024-03-31,초-8,palm,손바닥
44,19,2024-04-07,초-8,wrist,손목
35,20,2024-03-31,초-8,cheek,"뺨, 볼"
30,21,2024-03-30,초-1,respect,"존경하다, 존경"
41,22,2024-04-07,초-1,unless,만일 ~이 아니면
20,23,2023-01-08,초-2,care,"걱정, 조심, 걱정하다"
20,24,2023-01-08,초-2,near,"가까운, 가까이, 접근하여"
23,25,2023-01-08,초-2,as,"~한 것과 같이, ~로서"
35,26,2024-03-31,초-3,invite,초대하다
18,27,2023-01-08,초-4,express,"표현하다, 나타내다, 급행의, 속달의"
18,28,2023-01-08,초-4,excuse,"변명, 용서하다, 변명하다"
20,29,2023-01-08,초-5,careful,"주의 깊은, 신중한"
18,30,2023-01-08,초-6,alike,"서로 닮은, 비슷한, 똑같이"
18,31,2023-01-08,초-6,heavy,"무거운, 격렬한, 강한, 다량의, 대량 소비의"
30,32,2024-03-30,초-6,stranger,낯선 사람
30,33,2024-03-30,초-7,cotton,"면직물, 솜"
18,34,2023-01-08,초-7,fit,"적합하다, 어울리다, 꼭 맞는, 알맞은, 적당한, 건강한, 튼튼한"
30,35,2024-03-30,초-8,palm,손바닥
38,36,2024-04-01,초-9,impress,감명을 주다
20,37,2023-01-11,초-9,sense,"알아채다, 감각, 의식"
20,38,2023-01-13,초-9,aware,"깨닫는, 의식하는"
20,39,2023-01-13,초-9,hard,"굳은, 단단한, 곤란한, 어려운, 열심히, 몹시, 심하게"
18,40,2023-01-13,초-11,tear,"눈물, 눈물을 흘리다, 찢다"
20,41,2023-01-13,초-11,upset,"혼란한, 당황한, 뒤집어엎다, 당황케 하다"
18,42,2023-01-13,초-11,because,왜냐하면 ~이므로
20,43,2023-01-14,초-12,mind,"마음, 정신, 걱정하다, 신경쓰다, 꺼리다"
18,44,2023-01-14,초-10,bear,"참다, 낳다, 지탱하다, 곰"
20,45,2023-01-14,초-10,suffer,"(병을) 앓다, 고통받다"
18,46,2023-01-14,초-11,tear,"눈물, 눈물을 흘리다, 찢다"
20,47,2023-01-14,초-11,delight,"기쁨, 즐거움, 기쁘게 하다"
